,Checking_account_status,Duration_months,Credit_history,Purpose,Credit_amount,Savings_account_or_bonds,Present_employment_since,Installment_rate,Personal_status,Other_debtors,Present_residence_since,Property,Age_years,Other_installment_plans,Housing,Number_existing_credits,Job,Number_people_liable,Telephone,Foreign_worker,Label
137,0equalsless_than_and_less_than200,36,delay_in_paying_off,business,4455,less_than100,1equalsless_than_and_less_than4,2,male-divorced/separated,none,2,real_estate,30,stores,own,2,management/self-employed/highly_qualified/officer,1,yes,no,bad
138,less_than0,21,all_dues_atbank_cleared,car_(new),1647,unknown_or_no_savings_account,1equalsless_than_and_less_than4,4,male-single,none,2,building_society/savings_agreement/life_insurance,40,none,own,2,unskilled-resident,2,no,no,bad
139,no_checking_account,24,critical_account,furniture/equipment,3777,greater_than1000,1equalsless_than_and_less_than4,4,male-single,none,4,real_estate,50,none,own,1,skilled_employee/official,1,yes,no,good
140,0equalsless_than_and_less_than200,18,critical_account,car_(new),884,less_than100,greater_than7,4,male-single,none,4,car_or_other,36,bank,own,1,skilled_employee/official,2,yes,no,bad
141,no_checking_account,15,critical_account,radio/television,1360,less_than100,1equalsless_than_and_less_than4,4,male-single,none,2,building_society/savings_agreement/life_insurance,31,none,own,2,skilled_employee/official,1,no,no,good
142,0equalsless_than_and_less_than200,9,all_dues_atbank_cleared,car_(used),5129,less_than100,greater_than7,2,female-divorced/separated/married,none,4,unknown/no_property,74,bank,for_free,1,management/self-employed/highly_qualified/officer,2,yes,no,bad
143,0equalsless_than_and_less_than200,16,critical_account,car_(new),1175,less_than100,unemployed,2,male-single,none,3,car_or_other,68,none,for_free,3,unemployed/unskilled-non_resident,1,yes,no,good
144,less_than0,12,existing_dues_cleared_for_now,radio/television,674,100equalsless_than_and_less_than500,4equalsless_than_and_less_than7,4,male-married/widowed,none,1,building_society/savings_agreement/life_insurance,20,none,own,1,skilled_employee/official,1,no,no,bad
145,no_checking_account,24,existing_dues_cleared_for_now,business,4591,greater_than1000,1equalsless_than_and_less_than4,2,male-single,none,3,building_society/savings_agreement/life_insurance,54,none,own,3,management/self-employed/highly_qualified/officer,1,yes,no,bad
146,0equalsless_than_and_less_than200,48,none_taken/all_dues_cleared,business,3844,100equalsless_than_and_less_than500,4equalsless_than_and_less_than7,4,male-single,none,4,unknown/no_property,34,none,for_free,1,unskilled-resident,2,no,no,bad
147,0equalsless_than_and_less_than200,27,existing_dues_cleared_for_now,business,3915,less_than100,1equalsless_than_and_less_than4,4,male-single,none,2,car_or_other,36,none,own,1,skilled_employee/official,2,yes,no,bad
148,0equalsless_than_and_less_than200,9,critical_account,education,1501,less_than100,greater_than7,2,female-divorced/separated/married,none,3,car_or_other,34,none,own,2,management/self-employed/highly_qualified/officer,1,yes,no,bad
149,0equalsless_than_and_less_than200,24,existing_dues_cleared_for_now,car_(used),2760,unknown_or_no_savings_account,greater_than7,4,male-single,none,4,unknown/no_property,36,bank,for_free,1,skilled_employee/official,1,yes,no,good
150,0equalsless_than_and_less_than200,18,delay_in_paying_off,furniture/equipment,4297,less_than100,greater_than7,4,male-divorced/separated,none,3,unknown/no_property,40,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
151,no_checking_account,9,critical_account,education,936,500equalsless_than_and_less_than1000,greater_than7,4,male-single,none,2,car_or_other,52,none,own,2,skilled_employee/official,1,yes,no,good
152,less_than0,12,existing_dues_cleared_for_now,car_(new),1168,less_than100,1equalsless_than_and_less_than4,4,male-married/widowed,none,3,real_estate,27,none,own,1,unskilled-resident,1,no,no,good
153,no_checking_account,27,delay_in_paying_off,business,5117,less_than100,4equalsless_than_and_less_than7,3,male-single,none,4,car_or_other,26,none,own,2,skilled_employee/official,1,no,no,good
154,less_than0,12,existing_dues_cleared_for_now,retraining,902,less_than100,4equalsless_than_and_less_than7,4,male-married/widowed,none,4,building_society/savings_agreement/life_insurance,21,none,rent,1,skilled_employee/official,1,no,no,bad
155,no_checking_account,12,critical_account,car_(new),1495,less_than100,greater_than7,4,male-single,none,1,real_estate,38,none,own,2,unskilled-resident,2,no,no,good
156,less_than0,30,critical_account,car_(used),10623,less_than100,greater_than7,3,male-single,none,4,unknown/no_property,38,none,for_free,3,management/self-employed/highly_qualified/officer,2,yes,no,good
157,no_checking_account,12,critical_account,furniture/equipment,1935,less_than100,greater_than7,4,male-single,none,4,real_estate,43,none,own,3,skilled_employee/official,1,yes,no,good
158,less_than0,24,existing_dues_cleared_for_now,business,6568,less_than100,1equalsless_than_and_less_than4,2,male-married/widowed,none,2,car_or_other,21,stores,own,1,unskilled-resident,1,no,no,good
159,no_checking_account,12,existing_dues_cleared_for_now,car_(used),1413,greater_than1000,4equalsless_than_and_less_than7,3,male-single,none,2,building_society/savings_agreement/life_insurance,55,none,own,1,skilled_employee/official,1,no,yes,good
160,no_checking_account,9,critical_account,radio/television,3074,unknown_or_no_savings_account,1equalsless_than_and_less_than4,1,male-single,none,2,real_estate,33,none,own,2,skilled_employee/official,2,no,no,good
161,no_checking_account,36,existing_dues_cleared_for_now,radio/television,3835,unknown_or_no_savings_account,greater_than7,2,female-divorced/separated/married,none,4,real_estate,45,none,own,1,unskilled-resident,1,yes,no,good
162,less_than0,27,none_taken/all_dues_cleared,business,5293,less_than100,unemployed,2,male-single,none,4,building_society/savings_agreement/life_insurance,50,stores,own,2,skilled_employee/official,1,yes,no,bad
163,greater_than200,30,delay_in_paying_off,business,1908,less_than100,greater_than7,4,male-single,none,4,real_estate,66,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
164,0equalsless_than_and_less_than200,6,critical_account,retraining,932,unknown_or_no_savings_account,4equalsless_than_and_less_than7,1,female-divorced/separated/married,none,3,building_society/savings_agreement/life_insurance,39,none,own,2,unskilled-resident,1,no,no,good
165,less_than0,18,none_taken/all_dues_cleared,business,3104,less_than100,4equalsless_than_and_less_than7,3,male-single,none,1,building_society/savings_agreement/life_insurance,31,bank,own,1,skilled_employee/official,1,yes,no,good
166,less_than0,24,existing_dues_cleared_for_now,furniture/equipment,3021,less_than100,1equalsless_than_and_less_than4,2,male-divorced/separated,none,2,real_estate,24,none,rent,1,unskilled-resident,1,no,no,good
167,no_checking_account,10,existing_dues_cleared_for_now,car_(new),1364,less_than100,1equalsless_than_and_less_than4,2,female-divorced/separated/married,none,4,car_or_other,64,none,own,1,skilled_employee/official,1,yes,no,good
168,0equalsless_than_and_less_than200,12,existing_dues_cleared_for_now,radio/television,625,less_than100,less_than1,4,male-married/widowed,guarantor,1,real_estate,26,bank,own,1,unskilled-resident,1,no,no,good
169,less_than0,12,existing_dues_cleared_for_now,education,1200,unknown_or_no_savings_account,1equalsless_than_and_less_than4,4,female-divorced/separated/married,none,4,building_society/savings_agreement/life_insurance,23,bank,rent,1,skilled_employee/official,1,yes,no,good
170,no_checking_account,12,existing_dues_cleared_for_now,radio/television,707,less_than100,1equalsless_than_and_less_than4,4,male-single,none,2,real_estate,30,bank,own,2,skilled_employee/official,1,no,no,good
171,no_checking_account,24,delay_in_paying_off,business,2978,unknown_or_no_savings_account,1equalsless_than_and_less_than4,4,male-single,none,4,real_estate,32,none,own,2,skilled_employee/official,2,yes,no,good
172,no_checking_account,15,existing_dues_cleared_for_now,car_(used),4657,less_than100,1equalsless_than_and_less_than4,3,male-single,none,2,car_or_other,30,none,own,1,skilled_employee/official,1,yes,no,good
173,no_checking_account,36,none_taken/all_dues_cleared,repairs,2613,less_than100,1equalsless_than_and_less_than4,4,male-single,none,2,car_or_other,27,none,own,2,skilled_employee/official,1,no,no,good
174,less_than0,12,existing_dues_cleared_for_now,furniture/equipment,7865,less_than100,greater_than7,4,male-single,none,4,unknown/no_property,53,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
175,no_checking_account,9,existing_dues_cleared_for_now,radio/television,1478,less_than100,4equalsless_than_and_less_than7,4,male-single,none,2,car_or_other,22,none,own,1,skilled_employee/official,1,no,no,bad
176,less_than0,24,existing_dues_cleared_for_now,furniture/equipment,3149,less_than100,less_than1,4,male-single,none,1,unknown/no_property,22,bank,for_free,1,skilled_employee/official,1,no,no,good
177,greater_than200,36,existing_dues_cleared_for_now,radio/television,4210,less_than100,1equalsless_than_and_less_than4,4,male-single,none,2,car_or_other,26,none,own,1,skilled_employee/official,1,no,no,bad
178,no_checking_account,9,existing_dues_cleared_for_now,car_(new),2507,500equalsless_than_and_less_than1000,greater_than7,2,male-single,none,4,unknown/no_property,51,none,for_free,1,unskilled-resident,1,no,no,good
179,no_checking_account,12,existing_dues_cleared_for_now,radio/television,2141,100equalsless_than_and_less_than500,4equalsless_than_and_less_than7,3,male-single,none,1,unknown/no_property,35,none,own,1,skilled_employee/official,1,no,no,good
180,0equalsless_than_and_less_than200,18,existing_dues_cleared_for_now,radio/television,866,less_than100,1equalsless_than_and_less_than4,4,male-married/widowed,guarantor,2,real_estate,25,none,own,1,unskilled-resident,1,no,no,good
181,no_checking_account,4,critical_account,radio/television,1544,less_than100,4equalsless_than_and_less_than7,2,male-single,none,1,real_estate,42,none,own,3,unskilled-resident,2,no,no,good
182,less_than0,24,existing_dues_cleared_for_now,radio/television,1823,less_than100,unemployed,4,male-single,none,2,car_or_other,30,stores,own,1,management/self-employed/highly_qualified/officer,2,no,no,bad
183,0equalsless_than_and_less_than200,6,existing_dues_cleared_for_now,car_(new),14555,unknown_or_no_savings_account,unemployed,1,male-single,none,2,building_society/savings_agreement/life_insurance,23,none,own,1,unemployed/unskilled-non_resident,1,yes,no,bad
184,0equalsless_than_and_less_than200,21,existing_dues_cleared_for_now,business,2767,100equalsless_than_and_less_than500,greater_than7,4,male-divorced/separated,none,2,car_or_other,61,bank,rent,2,unskilled-resident,1,no,no,bad
185,no_checking_account,12,critical_account,radio/television,1291,less_than100,1equalsless_than_and_less_than4,4,female-divorced/separated/married,none,2,building_society/savings_agreement/life_insurance,35,none,own,2,skilled_employee/official,1,no,no,good
186,less_than0,30,existing_dues_cleared_for_now,radio/television,2522,less_than100,greater_than7,1,male-single,guarantor,3,building_society/savings_agreement/life_insurance,39,none,own,1,skilled_employee/official,2,no,no,good
187,less_than0,24,existing_dues_cleared_for_now,car_(new),915,unknown_or_no_savings_account,greater_than7,4,female-divorced/separated/married,none,2,car_or_other,29,bank,own,1,skilled_employee/official,1,no,no,bad
188,no_checking_account,6,existing_dues_cleared_for_now,radio/television,1595,less_than100,4equalsless_than_and_less_than7,3,male-single,none,2,building_society/savings_agreement/life_insurance,51,none,own,1,skilled_employee/official,2,no,no,good
189,less_than0,48,none_taken/all_dues_cleared,car_(used),4605,less_than100,greater_than7,3,male-single,none,4,unknown/no_property,24,none,for_free,2,skilled_employee/official,2,no,no,bad
190,no_checking_account,12,critical_account,business,1185,less_than100,1equalsless_than_and_less_than4,3,female-divorced/separated/married,none,2,real_estate,27,none,own,2,skilled_employee/official,1,no,no,good
191,no_checking_account,12,all_dues_atbank_cleared,retraining,3447,500equalsless_than_and_less_than1000,1equalsless_than_and_less_than4,4,female-divorced/separated/married,none,3,real_estate,35,none,own,1,unskilled-resident,2,no,no,good
192,no_checking_account,24,existing_dues_cleared_for_now,business,1258,less_than100,4equalsless_than_and_less_than7,4,male-single,none,1,real_estate,25,none,own,1,skilled_employee/official,1,yes,no,good
193,no_checking_account,12,critical_account,radio/television,717,less_than100,greater_than7,4,male-single,none,4,real_estate,52,none,own,3,skilled_employee/official,1,no,no,good
194,no_checking_account,6,none_taken/all_dues_cleared,car_(new),1204,100equalsless_than_and_less_than500,1equalsless_than_and_less_than4,4,male-single,none,1,unknown/no_property,35,bank,rent,1,skilled_employee/official,1,no,yes,good
195,greater_than200,24,existing_dues_cleared_for_now,furniture/equipment,1925,less_than100,1equalsless_than_and_less_than4,2,male-single,none,2,real_estate,26,none,own,1,skilled_employee/official,1,no,no,good
196,no_checking_account,18,existing_dues_cleared_for_now,radio/television,433,less_than100,unemployed,3,female-divorced/separated/married,co-applicant,4,real_estate,22,none,rent,1,skilled_employee/official,1,no,no,bad
197,less_than0,6,critical_account,car_(new),666,greater_than1000,4equalsless_than_and_less_than7,3,female-divorced/separated/married,none,4,real_estate,39,none,own,2,unskilled-resident,1,yes,no,good
198,greater_than200,12,existing_dues_cleared_for_now,furniture/equipment,2251,less_than100,1equalsless_than_and_less_than4,1,female-divorced/separated/married,none,2,car_or_other,46,none,own,1,unskilled-resident,1,no,no,good
199,0equalsless_than_and_less_than200,60,delay_in_paying_off,radio/television,7418,unknown_or_no_savings_account,1equalsless_than_and_less_than4,1,male-single,none,1,real_estate,27,none,own,1,unskilled-resident,1,no,no,good
200,no_checking_account,24,critical_account,radio/television,2684,less_than100,1equalsless_than_and_less_than4,4,male-single,none,2,real_estate,35,none,own,2,unskilled-resident,1,no,no,good
201,less_than0,12,all_dues_atbank_cleared,radio/television,2149,less_than100,1equalsless_than_and_less_than4,4,male-divorced/separated,none,1,unknown/no_property,29,none,for_free,1,skilled_employee/official,1,no,no,bad
202,no_checking_account,15,existing_dues_cleared_for_now,car_(used),3812,100equalsless_than_and_less_than500,less_than1,1,female-divorced/separated/married,none,4,car_or_other,23,none,own,1,skilled_employee/official,1,yes,no,good
203,less_than0,18,critical_account,car_(new),5302,less_than100,greater_than7,2,male-single,none,4,unknown/no_property,36,none,for_free,3,management/self-employed/highly_qualified/officer,1,yes,no,good
204,no_checking_account,12,critical_account,education,2748,less_than100,greater_than7,2,female-divorced/separated/married,none,4,unknown/no_property,57,bank,for_free,3,unskilled-resident,1,no,no,good
205,no_checking_account,10,critical_account,car_(new),1231,less_than100,greater_than7,3,male-single,none,4,real_estate,32,none,own,2,unskilled-resident,2,no,yes,good
206,no_checking_account,36,critical_account,business,6304,unknown_or_no_savings_account,greater_than7,4,male-single,none,4,real_estate,36,none,own,2,skilled_employee/official,1,no,no,good
207,no_checking_account,24,existing_dues_cleared_for_now,radio/television,1533,less_than100,less_than1,4,female-divorced/separated/married,none,3,car_or_other,38,stores,own,1,skilled_employee/official,1,yes,no,good
208,no_checking_account,24,existing_dues_cleared_for_now,radio/television,999,unknown_or_no_savings_account,greater_than7,4,male-single,none,2,car_or_other,25,none,own,2,skilled_employee/official,1,no,no,good
209,no_checking_account,18,existing_dues_cleared_for_now,car_(new),2662,unknown_or_no_savings_account,4equalsless_than_and_less_than7,4,male-single,none,3,building_society/savings_agreement/life_insurance,32,none,own,1,skilled_employee/official,1,no,yes,good
210,less_than0,30,existing_dues_cleared_for_now,repairs,11998,less_than100,less_than1,1,male-divorced/separated,none,1,unknown/no_property,34,none,own,1,unskilled-resident,1,yes,no,bad
211,less_than0,12,existing_dues_cleared_for_now,furniture/equipment,1262,unknown_or_no_savings_account,greater_than7,2,male-divorced/separated,none,4,building_society/savings_agreement/life_insurance,49,none,own,1,unskilled-resident,1,yes,no,good
212,no_checking_account,6,existing_dues_cleared_for_now,furniture/equipment,4611,less_than100,less_than1,1,female-divorced/separated/married,none,4,building_society/savings_agreement/life_insurance,32,none,own,1,skilled_employee/official,1,no,no,bad
213,no_checking_account,24,existing_dues_cleared_for_now,radio/television,1901,100equalsless_than_and_less_than500,1equalsless_than_and_less_than4,4,male-single,none,4,car_or_other,29,none,rent,1,management/self-employed/highly_qualified/officer,1,yes,no,good
214,no_checking_account,15,critical_account,car_(used),3368,greater_than1000,greater_than7,3,male-single,none,4,unknown/no_property,23,none,rent,2,skilled_employee/official,1,yes,no,good
215,no_checking_account,15,critical_account,furniture/equipment,1520,unknown_or_no_savings_account,greater_than7,4,male-single,none,4,building_society/savings_agreement/life_insurance,63,none,own,1,skilled_employee/official,1,no,no,good
216,0equalsless_than_and_less_than200,24,critical_account,car_(new),3878,100equalsless_than_and_less_than500,less_than1,4,male-divorced/separated,none,2,car_or_other,37,none,own,1,skilled_employee/official,1,yes,no,good
217,less_than0,47,existing_dues_cleared_for_now,car_(new),10722,less_than100,less_than1,1,female-divorced/separated/married,none,1,real_estate,35,none,own,1,unskilled-resident,1,yes,no,good
218,less_than0,48,existing_dues_cleared_for_now,car_(used),4788,less_than100,4equalsless_than_and_less_than7,4,male-single,none,3,building_society/savings_agreement/life_insurance,26,none,own,1,skilled_employee/official,2,no,no,good
219,0equalsless_than_and_less_than200,48,delay_in_paying_off,others,7582,100equalsless_than_and_less_than500,unemployed,2,male-single,none,4,unknown/no_property,31,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,good
220,0equalsless_than_and_less_than200,12,existing_dues_cleared_for_now,radio/television,1092,less_than100,1equalsless_than_and_less_than4,4,female-divorced/separated/married,guarantor,4,real_estate,49,none,own,2,skilled_employee/official,1,yes,no,good
221,less_than0,24,delay_in_paying_off,radio/television,1024,less_than100,less_than1,4,male-married/widowed,none,4,real_estate,48,stores,own,1,skilled_employee/official,1,no,no,bad
222,no_checking_account,12,existing_dues_cleared_for_now,business,1076,less_than100,1equalsless_than_and_less_than4,2,male-married/widowed,none,2,real_estate,26,none,own,1,skilled_employee/official,1,yes,yes,good
223,less_than0,24,critical_account,car_(used),6419,less_than100,greater_than7,2,female-divorced/separated/married,none,4,unknown/no_property,44,none,for_free,2,management/self-employed/highly_qualified/officer,2,yes,no,good
224,greater_than200,42,critical_account,car_(used),4796,less_than100,greater_than7,4,male-single,none,4,unknown/no_property,56,none,for_free,1,skilled_employee/official,1,no,no,good
225,no_checking_account,48,critical_account,business,7629,unknown_or_no_savings_account,greater_than7,4,male-divorced/separated,none,2,car_or_other,46,bank,own,2,management/self-employed/highly_qualified/officer,2,no,no,good
226,0equalsless_than_and_less_than200,48,existing_dues_cleared_for_now,furniture/equipment,9960,less_than100,less_than1,1,female-divorced/separated/married,none,2,car_or_other,26,none,own,1,skilled_employee/official,1,yes,no,bad
227,no_checking_account,12,existing_dues_cleared_for_now,car_(used),4675,unknown_or_no_savings_account,less_than1,1,female-divorced/separated/married,none,4,car_or_other,20,none,rent,1,skilled_employee/official,1,no,no,good
228,no_checking_account,18,existing_dues_cleared_for_now,furniture/equipment,2515,less_than100,1equalsless_than_and_less_than4,3,male-single,none,4,real_estate,43,none,own,1,skilled_employee/official,1,yes,no,good
229,0equalsless_than_and_less_than200,21,critical_account,furniture/equipment,2745,greater_than1000,4equalsless_than_and_less_than7,3,male-single,none,2,car_or_other,32,none,own,2,skilled_employee/official,1,yes,no,good
230,no_checking_account,6,existing_dues_cleared_for_now,car_(new),672,less_than100,unemployed,1,female-divorced/separated/married,none,4,real_estate,54,none,own,1,unemployed/unskilled-non_resident,1,yes,no,good
231,0equalsless_than_and_less_than200,36,none_taken/all_dues_cleared,radio/television,3804,less_than100,1equalsless_than_and_less_than4,4,female-divorced/separated/married,none,1,car_or_other,42,none,own,1,skilled_employee/official,1,yes,no,bad
232,greater_than200,24,critical_account,car_(new),1344,unknown_or_no_savings_account,4equalsless_than_and_less_than7,4,male-single,none,2,real_estate,37,bank,own,2,unskilled-resident,2,no,no,bad
233,less_than0,10,critical_account,car_(new),1038,less_than100,4equalsless_than_and_less_than7,4,male-single,co-applicant,3,building_society/savings_agreement/life_insurance,49,none,own,2,skilled_employee/official,1,yes,no,good
234,no_checking_account,48,critical_account,car_(new),10127,500equalsless_than_and_less_than1000,1equalsless_than_and_less_than4,2,male-single,none,2,unknown/no_property,44,bank,for_free,1,skilled_employee/official,1,no,no,bad
235,less_than0,12,existing_dues_cleared_for_now,radio/television,727,100equalsless_than_and_less_than500,less_than1,4,male-married/widowed,none,3,unknown/no_property,33,none,own,1,unskilled-resident,1,yes,no,bad
236,0equalsless_than_and_less_than200,48,existing_dues_cleared_for_now,others,5381,unknown_or_no_savings_account,unemployed,3,male-single,none,4,unknown/no_property,40,bank,for_free,1,unemployed/unskilled-non_resident,1,yes,no,good
237,no_checking_account,24,existing_dues_cleared_for_now,furniture/equipment,5511,100equalsless_than_and_less_than500,1equalsless_than_and_less_than4,4,male-single,none,1,car_or_other,25,stores,own,1,skilled_employee/official,1,no,no,good
238,greater_than200,24,existing_dues_cleared_for_now,furniture/equipment,3749,less_than100,less_than1,2,female-divorced/separated/married,none,4,car_or_other,26,none,own,1,skilled_employee/official,1,no,no,good
239,0equalsless_than_and_less_than200,12,existing_dues_cleared_for_now,car_(new),685,less_than100,4equalsless_than_and_less_than7,2,male-married/widowed,none,3,car_or_other,25,bank,own,1,unskilled-resident,1,no,no,bad
240,greater_than200,4,existing_dues_cleared_for_now,car_(new),1494,unknown_or_no_savings_account,less_than1,1,male-single,none,2,real_estate,29,none,own,1,unskilled-resident,2,no,yes,good
241,less_than0,36,all_dues_atbank_cleared,furniture/equipment,2746,less_than100,greater_than7,4,male-single,none,4,car_or_other,31,bank,own,1,skilled_employee/official,1,no,no,bad
242,less_than0,12,existing_dues_cleared_for_now,furniture/equipment,708,less_than100,1equalsless_than_and_less_than4,2,male-single,guarantor,3,building_society/savings_agreement/life_insurance,38,none,own,1,unskilled-resident,2,no,no,good
243,0equalsless_than_and_less_than200,24,existing_dues_cleared_for_now,furniture/equipment,4351,unknown_or_no_savings_account,1equalsless_than_and_less_than4,1,female-divorced/separated/married,none,4,building_society/savings_agreement/life_insurance,48,none,own,1,unskilled-resident,1,yes,no,good
244,less_than0,15,delay_in_paying_off,furniture/equipment,3643,less_than100,greater_than7,1,female-divorced/separated/married,none,4,building_society/savings_agreement/life_insurance,27,none,own,2,unskilled-resident,1,no,no,good
245,0equalsless_than_and_less_than200,30,critical_account,car_(new),4249,less_than100,unemployed,4,male-married/widowed,none,2,car_or_other,28,none,own,2,management/self-employed/highly_qualified/officer,1,no,no,bad
246,less_than0,24,existing_dues_cleared_for_now,car_(used),2910,less_than100,4equalsless_than_and_less_than7,2,male-single,none,1,unknown/no_property,34,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,good
247,no_checking_account,18,critical_account,car_(new),1028,less_than100,1equalsless_than_and_less_than4,4,female-divorced/separated/married,none,3,real_estate,36,none,own,2,skilled_employee/official,1,no,no,good
248,less_than0,8,critical_account,car_(new),3398,less_than100,4equalsless_than_and_less_than7,1,male-single,none,4,real_estate,39,none,own,2,unskilled-resident,1,no,yes,good
249,greater_than200,36,existing_dues_cleared_for_now,radio/television,4473,less_than100,greater_than7,4,male-single,none,2,car_or_other,31,none,own,1,skilled_employee/official,1,no,no,good
250,0equalsless_than_and_less_than200,6,existing_dues_cleared_for_now,radio/television,1068,less_than100,greater_than7,4,male-single,none,4,car_or_other,28,none,own,1,skilled_employee/official,2,no,no,good
251,less_than0,24,critical_account,car_(used),6615,less_than100,unemployed,2,male-single,none,4,unknown/no_property,75,none,for_free,2,management/self-employed/highly_qualified/officer,1,yes,no,good
252,no_checking_account,18,critical_account,education,1864,100equalsless_than_and_less_than500,1equalsless_than_and_less_than4,4,female-divorced/separated/married,none,2,real_estate,30,none,own,2,skilled_employee/official,1,no,no,bad
253,0equalsless_than_and_less_than200,60,existing_dues_cleared_for_now,car_(new),7408,100equalsless_than_and_less_than500,less_than1,4,female-divorced/separated/married,none,2,building_society/savings_agreement/life_insurance,24,none,own,1,management/self-employed/highly_qualified/officer,1,no,no,bad
254,no_checking_account,48,critical_account,car_(used),11590,100equalsless_than_and_less_than500,1equalsless_than_and_less_than4,2,female-divorced/separated/married,none,4,car_or_other,24,bank,rent,2,unskilled-resident,1,no,no,bad
255,less_than0,24,none_taken/all_dues_cleared,furniture/equipment,4110,less_than100,greater_than7,3,male-single,none,4,unknown/no_property,23,bank,rent,2,skilled_employee/official,2,no,no,bad
256,0equalsless_than_and_less_than200,13,existing_dues_cleared_for_now,radio/television,2101,less_than100,less_than1,2,female-divorced/separated/married,guarantor,4,building_society/savings_agreement/life_insurance,23,none,own,1,unskilled-resident,1,no,no,good
257,less_than0,24,existing_dues_cleared_for_now,furniture/equipment,4169,less_than100,1equalsless_than_and_less_than4,4,male-single,none,4,building_society/savings_agreement/life_insurance,28,none,own,1,skilled_employee/official,1,no,no,good
258,0equalsless_than_and_less_than200,24,critical_account,education,5743,less_than100,less_than1,2,female-divorced/separated/married,none,4,unknown/no_property,24,none,for_free,2,skilled_employee/official,1,yes,no,good
259,less_than0,21,existing_dues_cleared_for_now,furniture/equipment,3599,less_than100,4equalsless_than_and_less_than7,1,female-divorced/separated/married,none,4,car_or_other,26,none,rent,1,unskilled-resident,1,no,no,good
260,0equalsless_than_and_less_than200,18,existing_dues_cleared_for_now,radio/television,3213,500equalsless_than_and_less_than1000,less_than1,1,male-married/widowed,none,3,real_estate,25,none,rent,1,skilled_employee/official,1,no,no,good
261,0equalsless_than_and_less_than200,18,existing_dues_cleared_for_now,business,4439,less_than100,greater_than7,1,male-single,co-applicant,1,real_estate,33,bank,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
262,greater_than200,10,existing_dues_cleared_for_now,car_(new),3949,less_than100,less_than1,1,male-single,guarantor,1,building_society/savings_agreement/life_insurance,37,none,own,1,unskilled-resident,2,no,no,good
263,no_checking_account,15,critical_account,radio/television,1459,less_than100,1equalsless_than_and_less_than4,4,female-divorced/separated/married,none,2,car_or_other,43,none,own,1,unskilled-resident,1,no,no,good
264,0equalsless_than_and_less_than200,13,critical_account,radio/television,882,less_than100,less_than1,4,male-single,guarantor,4,real_estate,23,none,own,2,skilled_employee/official,1,no,no,good
265,0equalsless_than_and_less_than200,24,existing_dues_cleared_for_now,radio/television,3758,500equalsless_than_and_less_than1000,unemployed,1,female-divorced/separated/married,none,4,unknown/no_property,23,none,rent,1,unemployed/unskilled-non_resident,1,no,no,good
266,no_checking_account,6,delay_in_paying_off,business,1743,100equalsless_than_and_less_than500,1equalsless_than_and_less_than4,1,male-single,none,2,real_estate,34,none,own,2,unskilled-resident,1,no,no,good
267,0equalsless_than_and_less_than200,9,critical_account,education,1136,greater_than1000,greater_than7,4,male-single,none,3,unknown/no_property,32,none,for_free,2,skilled_employee/official,2,no,no,bad
268,no_checking_account,18,critical_account,car_(used),3229,unknown_or_no_savings_account,unemployed,2,male-single,none,4,unknown/no_property,38,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
269,less_than0,12,none_taken/all_dues_cleared,radio/television,6199,less_than100,1equalsless_than_and_less_than4,4,male-single,none,2,building_society/savings_agreement/life_insurance,28,none,rent,2,skilled_employee/official,1,yes,no,bad
270,no_checking_account,10,existing_dues_cleared_for_now,education,727,500equalsless_than_and_less_than1000,greater_than7,4,male-single,none,4,unknown/no_property,46,none,for_free,1,skilled_employee/official,1,yes,no,good
271,0equalsless_than_and_less_than200,24,existing_dues_cleared_for_now,car_(new),1246,less_than100,less_than1,4,male-single,none,2,real_estate,23,stores,own,1,unskilled-resident,1,no,no,bad
272,no_checking_account,12,critical_account,radio/television,2331,unknown_or_no_savings_account,greater_than7,1,male-single,co-applicant,4,real_estate,49,none,own,1,skilled_employee/official,1,yes,no,good
273,no_checking_account,36,delay_in_paying_off,radio/television,4463,less_than100,1equalsless_than_and_less_than4,4,male-single,none,2,car_or_other,26,none,own,2,management/self-employed/highly_qualified/officer,1,yes,no,bad
274,no_checking_account,12,existing_dues_cleared_for_now,radio/television,776,less_than100,1equalsless_than_and_less_than4,4,male-married/widowed,none,2,real_estate,28,none,own,1,skilled_employee/official,1,no,no,good
275,less_than0,30,existing_dues_cleared_for_now,furniture/equipment,2406,less_than100,4equalsless_than_and_less_than7,4,female-divorced/separated/married,none,4,real_estate,23,none,rent,1,skilled_employee/official,1,no,no,bad
276,0equalsless_than_and_less_than200,18,existing_dues_cleared_for_now,education,1239,unknown_or_no_savings_account,1equalsless_than_and_less_than4,4,male-single,none,4,unknown/no_property,61,none,for_free,1,skilled_employee/official,1,no,no,good
277,greater_than200,12,existing_dues_cleared_for_now,radio/television,3399,unknown_or_no_savings_account,greater_than7,2,male-single,none,3,car_or_other,37,none,own,1,management/self-employed/highly_qualified/officer,1,no,no,good
