Checking_account_status,Duration_months,Credit_history,Purpose,Credit_amount,Savings_account_or_bonds,Present_employment_since,Installment_rate,Personal_status,Other_debtors,Present_residence_since,Property,Age_years,Other_installment_plans,Housing,Number_existing_credits,Job,Number_people_liable,Telephone,Foreign_worker,Label
<0,24,existing_dues_cleared_for_now,business,6568,<100,1=<_and_<4,2,male-married/widowed,none,2,car or other,21,stores,own,1,unskilled-resident,1,no,no,good
no_checking_account,12,existing_dues_cleared_for_now,car (used),1413,>1000,4=<_and_<7,3,male-single,none,2,building society/savings agreement/life insurance,55,none,own,1,skilled_employee/official,1,no,yes,good
no_checking_account,9,critical_account,radio/television,3074,unknown_or_no_savings_account,1=<_and_<4,1,male-single,none,2,real_estate,33,none,own,2,skilled_employee/official,2,no,no,good
no_checking_account,36,existing_dues_cleared_for_now,radio/television,3835,unknown_or_no_savings_account,>7,2,female-divorced/separated/married,none,4,real_estate,45,none,own,1,unskilled-resident,1,yes,no,good
<0,27,none_taken/all_dues_cleared,business,5293,<100,unemployed,2,male-single,none,4,building society/savings agreement/life insurance,50,stores,own,2,skilled_employee/official,1,yes,no,bad
>200,30,delay_in_paying_off,business,1908,<100,>7,4,male-single,none,4,real_estate,66,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
0=<_and_<200,6,critical_account,retraining,932,unknown_or_no_savings_account,4=<_and_<7,1,female-divorced/separated/married,none,3,building society/savings agreement/life insurance,39,none,own,2,unskilled-resident,1,no,no,good
<0,18,none_taken/all_dues_cleared,business,3104,<100,4=<_and_<7,3,male-single,none,1,building society/savings agreement/life insurance,31,bank,own,1,skilled_employee/official,1,yes,no,good
<0,24,existing_dues_cleared_for_now,furniture/equipment,3021,<100,1=<_and_<4,2,male-divorced/separated,none,2,real_estate,24,none,rent,1,unskilled-resident,1,no,no,good
no_checking_account,10,existing_dues_cleared_for_now,car (new),1364,<100,1=<_and_<4,2,female-divorced/separated/married,none,4,car or other,64,none,own,1,skilled_employee/official,1,yes,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,radio/television,625,<100,<1,4,male-married/widowed,guarantor,1,real_estate,26,bank,own,1,unskilled-resident,1,no,no,good
<0,12,existing_dues_cleared_for_now,education,1200,unknown_or_no_savings_account,1=<_and_<4,4,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,23,bank,rent,1,skilled_employee/official,1,yes,no,good
no_checking_account,12,existing_dues_cleared_for_now,radio/television,707,<100,1=<_and_<4,4,male-single,none,2,real_estate,30,bank,own,2,skilled_employee/official,1,no,no,good
no_checking_account,24,delay_in_paying_off,business,2978,unknown_or_no_savings_account,1=<_and_<4,4,male-single,none,4,real_estate,32,none,own,2,skilled_employee/official,2,yes,no,good
no_checking_account,15,existing_dues_cleared_for_now,car (used),4657,<100,1=<_and_<4,3,male-single,none,2,car or other,30,none,own,1,skilled_employee/official,1,yes,no,good
no_checking_account,36,none_taken/all_dues_cleared,repairs,2613,<100,1=<_and_<4,4,male-single,none,2,car or other,27,none,own,2,skilled_employee/official,1,no,no,good
<0,12,existing_dues_cleared_for_now,furniture/equipment,7865,<100,>7,4,male-single,none,4,unknown/no_property,53,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
no_checking_account,9,existing_dues_cleared_for_now,radio/television,1478,<100,4=<_and_<7,4,male-single,none,2,car or other,22,none,own,1,skilled_employee/official,1,no,no,bad
<0,24,existing_dues_cleared_for_now,furniture/equipment,3149,<100,<1,4,male-single,none,1,unknown/no_property,22,bank,for_free,1,skilled_employee/official,1,no,no,good
>200,36,existing_dues_cleared_for_now,radio/television,4210,<100,1=<_and_<4,4,male-single,none,2,car or other,26,none,own,1,skilled_employee/official,1,no,no,bad
no_checking_account,9,existing_dues_cleared_for_now,car (new),2507,500=<_and_<1000,>7,2,male-single,none,4,unknown/no_property,51,none,for_free,1,unskilled-resident,1,no,no,good
no_checking_account,12,existing_dues_cleared_for_now,radio/television,2141,100=<_and_<500,4=<_and_<7,3,male-single,none,1,unknown/no_property,35,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,18,existing_dues_cleared_for_now,radio/television,866,<100,1=<_and_<4,4,male-married/widowed,guarantor,2,real_estate,25,none,own,1,unskilled-resident,1,no,no,good
no_checking_account,4,critical_account,radio/television,1544,<100,4=<_and_<7,2,male-single,none,1,real_estate,42,none,own,3,unskilled-resident,2,no,no,good
<0,24,existing_dues_cleared_for_now,radio/television,1823,<100,unemployed,4,male-single,none,2,car or other,30,stores,own,1,management/self-employed/highly_qualified/officer,2,no,no,bad
0=<_and_<200,6,existing_dues_cleared_for_now,car (new),14555,unknown_or_no_savings_account,unemployed,1,male-single,none,2,building society/savings agreement/life insurance,23,none,own,1,unemployed/unskilled-non_resident,1,yes,no,bad
0=<_and_<200,21,existing_dues_cleared_for_now,business,2767,100=<_and_<500,>7,4,male-divorced/separated,none,2,car or other,61,bank,rent,2,unskilled-resident,1,no,no,bad
no_checking_account,12,critical_account,radio/television,1291,<100,1=<_and_<4,4,female-divorced/separated/married,none,2,building society/savings agreement/life insurance,35,none,own,2,skilled_employee/official,1,no,no,good
<0,30,existing_dues_cleared_for_now,radio/television,2522,<100,>7,1,male-single,guarantor,3,building society/savings agreement/life insurance,39,none,own,1,skilled_employee/official,2,no,no,good
<0,24,existing_dues_cleared_for_now,car (new),915,unknown_or_no_savings_account,>7,4,female-divorced/separated/married,none,2,car or other,29,bank,own,1,skilled_employee/official,1,no,no,bad
no_checking_account,6,existing_dues_cleared_for_now,radio/television,1595,<100,4=<_and_<7,3,male-single,none,2,building society/savings agreement/life insurance,51,none,own,1,skilled_employee/official,2,no,no,good
<0,48,none_taken/all_dues_cleared,car (used),4605,<100,>7,3,male-single,none,4,unknown/no_property,24,none,for_free,2,skilled_employee/official,2,no,no,bad
no_checking_account,12,critical_account,business,1185,<100,1=<_and_<4,3,female-divorced/separated/married,none,2,real_estate,27,none,own,2,skilled_employee/official,1,no,no,good
no_checking_account,12,all_dues_atbank_cleared,retraining,3447,500=<_and_<1000,1=<_and_<4,4,female-divorced/separated/married,none,3,real_estate,35,none,own,1,unskilled-resident,2,no,no,good
no_checking_account,24,existing_dues_cleared_for_now,business,1258,<100,4=<_and_<7,4,male-single,none,1,real_estate,25,none,own,1,skilled_employee/official,1,yes,no,good
no_checking_account,12,critical_account,radio/television,717,<100,>7,4,male-single,none,4,real_estate,52,none,own,3,skilled_employee/official,1,no,no,good
no_checking_account,6,none_taken/all_dues_cleared,car (new),1204,100=<_and_<500,1=<_and_<4,4,male-single,none,1,unknown/no_property,35,bank,rent,1,skilled_employee/official,1,no,yes,good
>200,24,existing_dues_cleared_for_now,furniture/equipment,1925,<100,1=<_and_<4,2,male-single,none,2,real_estate,26,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,18,existing_dues_cleared_for_now,radio/television,433,<100,unemployed,3,female-divorced/separated/married,co-applicant,4,real_estate,22,none,rent,1,skilled_employee/official,1,no,no,bad
<0,6,critical_account,car (new),666,>1000,4=<_and_<7,3,female-divorced/separated/married,none,4,real_estate,39,none,own,2,unskilled-resident,1,yes,no,good
>200,12,existing_dues_cleared_for_now,furniture/equipment,2251,<100,1=<_and_<4,1,female-divorced/separated/married,none,2,car or other,46,none,own,1,unskilled-resident,1,no,no,good
0=<_and_<200,60,delay_in_paying_off,radio/television,7418,unknown_or_no_savings_account,1=<_and_<4,1,male-single,none,1,real_estate,27,none,own,1,unskilled-resident,1,no,no,good
no_checking_account,24,critical_account,radio/television,2684,<100,1=<_and_<4,4,male-single,none,2,real_estate,35,none,own,2,unskilled-resident,1,no,no,good
<0,12,all_dues_atbank_cleared,radio/television,2149,<100,1=<_and_<4,4,male-divorced/separated,none,1,unknown/no_property,29,none,for_free,1,skilled_employee/official,1,no,no,bad
no_checking_account,15,existing_dues_cleared_for_now,car (used),3812,100=<_and_<500,<1,1,female-divorced/separated/married,none,4,car or other,23,none,own,1,skilled_employee/official,1,yes,no,good
<0,18,critical_account,car (new),5302,<100,>7,2,male-single,none,4,unknown/no_property,36,none,for_free,3,management/self-employed/highly_qualified/officer,1,yes,no,good
no_checking_account,12,critical_account,education,2748,<100,>7,2,female-divorced/separated/married,none,4,unknown/no_property,57,bank,for_free,3,unskilled-resident,1,no,no,good
no_checking_account,10,critical_account,car (new),1231,<100,>7,3,male-single,none,4,real_estate,32,none,own,2,unskilled-resident,2,no,yes,good
no_checking_account,36,critical_account,business,6304,unknown_or_no_savings_account,>7,4,male-single,none,4,real_estate,36,none,own,2,skilled_employee/official,1,no,no,good
no_checking_account,24,existing_dues_cleared_for_now,radio/television,1533,<100,<1,4,female-divorced/separated/married,none,3,car or other,38,stores,own,1,skilled_employee/official,1,yes,no,good
no_checking_account,24,existing_dues_cleared_for_now,radio/television,999,unknown_or_no_savings_account,>7,4,male-single,none,2,car or other,25,none,own,2,skilled_employee/official,1,no,no,good
no_checking_account,18,existing_dues_cleared_for_now,car (new),2662,unknown_or_no_savings_account,4=<_and_<7,4,male-single,none,3,building society/savings agreement/life insurance,32,none,own,1,skilled_employee/official,1,no,yes,good
<0,30,existing_dues_cleared_for_now,repairs,11998,<100,<1,1,male-divorced/separated,none,1,unknown/no_property,34,none,own,1,unskilled-resident,1,yes,no,bad
<0,12,existing_dues_cleared_for_now,furniture/equipment,1262,unknown_or_no_savings_account,>7,2,male-divorced/separated,none,4,building society/savings agreement/life insurance,49,none,own,1,unskilled-resident,1,yes,no,good
no_checking_account,6,existing_dues_cleared_for_now,furniture/equipment,4611,<100,<1,1,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,32,none,own,1,skilled_employee/official,1,no,no,bad
no_checking_account,24,existing_dues_cleared_for_now,radio/television,1901,100=<_and_<500,1=<_and_<4,4,male-single,none,4,car or other,29,none,rent,1,management/self-employed/highly_qualified/officer,1,yes,no,good
no_checking_account,15,critical_account,car (used),3368,>1000,>7,3,male-single,none,4,unknown/no_property,23,none,rent,2,skilled_employee/official,1,yes,no,good
no_checking_account,15,critical_account,furniture/equipment,1520,unknown_or_no_savings_account,>7,4,male-single,none,4,building society/savings agreement/life insurance,63,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,24,critical_account,car (new),3878,100=<_and_<500,<1,4,male-divorced/separated,none,2,car or other,37,none,own,1,skilled_employee/official,1,yes,no,good
<0,47,existing_dues_cleared_for_now,car (new),10722,<100,<1,1,female-divorced/separated/married,none,1,real_estate,35,none,own,1,unskilled-resident,1,yes,no,good
<0,48,existing_dues_cleared_for_now,car (used),4788,<100,4=<_and_<7,4,male-single,none,3,building society/savings agreement/life insurance,26,none,own,1,skilled_employee/official,2,no,no,good
0=<_and_<200,48,delay_in_paying_off,others,7582,100=<_and_<500,unemployed,2,male-single,none,4,unknown/no_property,31,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,radio/television,1092,<100,1=<_and_<4,4,female-divorced/separated/married,guarantor,4,real_estate,49,none,own,2,skilled_employee/official,1,yes,no,good
<0,24,delay_in_paying_off,radio/television,1024,<100,<1,4,male-married/widowed,none,4,real_estate,48,stores,own,1,skilled_employee/official,1,no,no,bad
no_checking_account,12,existing_dues_cleared_for_now,business,1076,<100,1=<_and_<4,2,male-married/widowed,none,2,real_estate,26,none,own,1,skilled_employee/official,1,yes,yes,good
<0,24,critical_account,car (used),6419,<100,>7,2,female-divorced/separated/married,none,4,unknown/no_property,44,none,for_free,2,management/self-employed/highly_qualified/officer,2,yes,no,good
>200,42,critical_account,car (used),4796,<100,>7,4,male-single,none,4,unknown/no_property,56,none,for_free,1,skilled_employee/official,1,no,no,good
no_checking_account,48,critical_account,business,7629,unknown_or_no_savings_account,>7,4,male-divorced/separated,none,2,car or other,46,bank,own,2,management/self-employed/highly_qualified/officer,2,no,no,good
0=<_and_<200,48,existing_dues_cleared_for_now,furniture/equipment,9960,<100,<1,1,female-divorced/separated/married,none,2,car or other,26,none,own,1,skilled_employee/official,1,yes,no,bad
no_checking_account,12,existing_dues_cleared_for_now,car (used),4675,unknown_or_no_savings_account,<1,1,female-divorced/separated/married,none,4,car or other,20,none,rent,1,skilled_employee/official,1,no,no,good
no_checking_account,18,existing_dues_cleared_for_now,furniture/equipment,2515,<100,1=<_and_<4,3,male-single,none,4,real_estate,43,none,own,1,skilled_employee/official,1,yes,no,good
0=<_and_<200,21,critical_account,furniture/equipment,2745,>1000,4=<_and_<7,3,male-single,none,2,car or other,32,none,own,2,skilled_employee/official,1,yes,no,good
no_checking_account,6,existing_dues_cleared_for_now,car (new),672,<100,unemployed,1,female-divorced/separated/married,none,4,real_estate,54,none,own,1,unemployed/unskilled-non_resident,1,yes,no,good
0=<_and_<200,36,none_taken/all_dues_cleared,radio/television,3804,<100,1=<_and_<4,4,female-divorced/separated/married,none,1,car or other,42,none,own,1,skilled_employee/official,1,yes,no,bad
>200,24,critical_account,car (new),1344,unknown_or_no_savings_account,4=<_and_<7,4,male-single,none,2,real_estate,37,bank,own,2,unskilled-resident,2,no,no,bad
<0,10,critical_account,car (new),1038,<100,4=<_and_<7,4,male-single,co-applicant,3,building society/savings agreement/life insurance,49,none,own,2,skilled_employee/official,1,yes,no,good
no_checking_account,48,critical_account,car (new),10127,500=<_and_<1000,1=<_and_<4,2,male-single,none,2,unknown/no_property,44,bank,for_free,1,skilled_employee/official,1,no,no,bad
<0,12,existing_dues_cleared_for_now,radio/television,727,100=<_and_<500,<1,4,male-married/widowed,none,3,unknown/no_property,33,none,own,1,unskilled-resident,1,yes,no,bad
0=<_and_<200,48,existing_dues_cleared_for_now,others,5381,unknown_or_no_savings_account,unemployed,3,male-single,none,4,unknown/no_property,40,bank,for_free,1,unemployed/unskilled-non_resident,1,yes,no,good
no_checking_account,24,existing_dues_cleared_for_now,furniture/equipment,5511,100=<_and_<500,1=<_and_<4,4,male-single,none,1,car or other,25,stores,own,1,skilled_employee/official,1,no,no,good
>200,24,existing_dues_cleared_for_now,furniture/equipment,3749,<100,<1,2,female-divorced/separated/married,none,4,car or other,26,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,car (new),685,<100,4=<_and_<7,2,male-married/widowed,none,3,car or other,25,bank,own,1,unskilled-resident,1,no,no,bad
>200,4,existing_dues_cleared_for_now,car (new),1494,unknown_or_no_savings_account,<1,1,male-single,none,2,real_estate,29,none,own,1,unskilled-resident,2,no,yes,good
<0,36,all_dues_atbank_cleared,furniture/equipment,2746,<100,>7,4,male-single,none,4,car or other,31,bank,own,1,skilled_employee/official,1,no,no,bad
<0,12,existing_dues_cleared_for_now,furniture/equipment,708,<100,1=<_and_<4,2,male-single,guarantor,3,building society/savings agreement/life insurance,38,none,own,1,unskilled-resident,2,no,no,good
0=<_and_<200,24,existing_dues_cleared_for_now,furniture/equipment,4351,unknown_or_no_savings_account,1=<_and_<4,1,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,48,none,own,1,unskilled-resident,1,yes,no,good
<0,15,delay_in_paying_off,furniture/equipment,3643,<100,>7,1,female-divorced/separated/married,none,4,building society/savings agreement/life insurance,27,none,own,2,unskilled-resident,1,no,no,good
0=<_and_<200,30,critical_account,car (new),4249,<100,unemployed,4,male-married/widowed,none,2,car or other,28,none,own,2,management/self-employed/highly_qualified/officer,1,no,no,bad
<0,24,existing_dues_cleared_for_now,car (used),2910,<100,4=<_and_<7,2,male-single,none,1,unknown/no_property,34,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,good
no_checking_account,18,critical_account,car (new),1028,<100,1=<_and_<4,4,female-divorced/separated/married,none,3,real_estate,36,none,own,2,skilled_employee/official,1,no,no,good
<0,8,critical_account,car (new),3398,<100,4=<_and_<7,1,male-single,none,4,real_estate,39,none,own,2,unskilled-resident,1,no,yes,good
>200,36,existing_dues_cleared_for_now,radio/television,4473,<100,>7,4,male-single,none,2,car or other,31,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,6,existing_dues_cleared_for_now,radio/television,1068,<100,>7,4,male-single,none,4,car or other,28,none,own,1,skilled_employee/official,2,no,no,good
<0,24,critical_account,car (used),6615,<100,unemployed,2,male-single,none,4,unknown/no_property,75,none,for_free,2,management/self-employed/highly_qualified/officer,1,yes,no,good
no_checking_account,18,critical_account,education,1864,100=<_and_<500,1=<_and_<4,4,female-divorced/separated/married,none,2,real_estate,30,none,own,2,skilled_employee/official,1,no,no,bad
0=<_and_<200,60,existing_dues_cleared_for_now,car (new),7408,100=<_and_<500,<1,4,female-divorced/separated/married,none,2,building society/savings agreement/life insurance,24,none,own,1,management/self-employed/highly_qualified/officer,1,no,no,bad
no_checking_account,48,critical_account,car (used),11590,100=<_and_<500,1=<_and_<4,2,female-divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled-resident,1,no,no,bad
<0,24,none_taken/all_dues_cleared,furniture/equipment,4110,<100,>7,3,male-single,none,4,unknown/no_property,23,bank,rent,2,skilled_employee/official,2,no,no,bad
0=<_and_<200,13,existing_dues_cleared_for_now,radio/television,2101,<100,<1,2,female-divorced/separated/married,guarantor,4,building society/savings agreement/life insurance,23,none,own,1,unskilled-resident,1,no,no,good
<0,24,existing_dues_cleared_for_now,furniture/equipment,4169,<100,1=<_and_<4,4,male-single,none,4,building society/savings agreement/life insurance,28,none,own,1,skilled_employee/official,1,no,no,good
0=<_and_<200,24,critical_account,education,5743,<100,<1,2,female-divorced/separated/married,none,4,unknown/no_property,24,none,for_free,2,skilled_employee/official,1,yes,no,good
<0,21,existing_dues_cleared_for_now,furniture/equipment,3599,<100,4=<_and_<7,1,female-divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled-resident,1,no,no,good
0=<_and_<200,18,existing_dues_cleared_for_now,radio/television,3213,500=<_and_<1000,<1,1,male-married/widowed,none,3,real_estate,25,none,rent,1,skilled_employee/official,1,no,no,good
0=<_and_<200,18,existing_dues_cleared_for_now,business,4439,<100,>7,1,male-single,co-applicant,1,real_estate,33,bank,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
>200,10,existing_dues_cleared_for_now,car (new),3949,<100,<1,1,male-single,guarantor,1,building society/savings agreement/life insurance,37,none,own,1,unskilled-resident,2,no,no,good
no_checking_account,15,critical_account,radio/television,1459,<100,1=<_and_<4,4,female-divorced/separated/married,none,2,car or other,43,none,own,1,unskilled-resident,1,no,no,good
0=<_and_<200,13,critical_account,radio/television,882,<100,<1,4,male-single,guarantor,4,real_estate,23,none,own,2,skilled_employee/official,1,no,no,good
0=<_and_<200,24,existing_dues_cleared_for_now,radio/television,3758,500=<_and_<1000,unemployed,1,female-divorced/separated/married,none,4,unknown/no_property,23,none,rent,1,unemployed/unskilled-non_resident,1,no,no,good
no_checking_account,6,delay_in_paying_off,business,1743,100=<_and_<500,1=<_and_<4,1,male-single,none,2,real_estate,34,none,own,2,unskilled-resident,1,no,no,good
0=<_and_<200,9,critical_account,education,1136,>1000,>7,4,male-single,none,3,unknown/no_property,32,none,for_free,2,skilled_employee/official,2,no,no,bad
no_checking_account,18,critical_account,car (used),3229,unknown_or_no_savings_account,unemployed,2,male-single,none,4,unknown/no_property,38,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
<0,12,none_taken/all_dues_cleared,radio/television,6199,<100,1=<_and_<4,4,male-single,none,2,building society/savings agreement/life insurance,28,none,rent,2,skilled_employee/official,1,yes,no,bad
no_checking_account,10,existing_dues_cleared_for_now,education,727,500=<_and_<1000,>7,4,male-single,none,4,unknown/no_property,46,none,for_free,1,skilled_employee/official,1,yes,no,good
0=<_and_<200,24,existing_dues_cleared_for_now,car (new),1246,<100,<1,4,male-single,none,2,real_estate,23,stores,own,1,unskilled-resident,1,no,no,bad
no_checking_account,12,critical_account,radio/television,2331,unknown_or_no_savings_account,>7,1,male-single,co-applicant,4,real_estate,49,none,own,1,skilled_employee/official,1,yes,no,good
no_checking_account,36,delay_in_paying_off,radio/television,4463,<100,1=<_and_<4,4,male-single,none,2,car or other,26,none,own,2,management/self-employed/highly_qualified/officer,1,yes,no,bad
no_checking_account,12,existing_dues_cleared_for_now,radio/television,776,<100,1=<_and_<4,4,male-married/widowed,none,2,real_estate,28,none,own,1,skilled_employee/official,1,no,no,good
<0,30,existing_dues_cleared_for_now,furniture/equipment,2406,<100,4=<_and_<7,4,female-divorced/separated/married,none,4,real_estate,23,none,rent,1,skilled_employee/official,1,no,no,bad
0=<_and_<200,18,existing_dues_cleared_for_now,education,1239,unknown_or_no_savings_account,1=<_and_<4,4,male-single,none,4,unknown/no_property,61,none,for_free,1,skilled_employee/official,1,no,no,good
>200,12,existing_dues_cleared_for_now,radio/television,3399,unknown_or_no_savings_account,>7,2,male-single,none,3,car or other,37,none,own,1,management/self-employed/highly_qualified/officer,1,no,no,good
>200,12,delay_in_paying_off,car (new),2247,<100,1=<_and_<4,2,female-divorced/separated/married,none,2,car or other,36,stores,own,2,skilled_employee/official,1,yes,no,good
no_checking_account,6,existing_dues_cleared_for_now,furniture/equipment,1766,<100,1=<_and_<4,1,male-married/widowed,none,2,building society/savings agreement/life insurance,21,none,rent,1,skilled_employee/official,1,no,no,good
<0,18,existing_dues_cleared_for_now,furniture/equipment,2473,<100,unemployed,4,male-single,none,1,car or other,25,none,own,1,unemployed/unskilled-non_resident,1,no,no,bad
no_checking_account,18,critical_account,car (used),3850,<100,4=<_and_<7,3,male-single,none,1,car or other,27,none,own,2,skilled_employee/official,1,no,no,good
<0,36,existing_dues_cleared_for_now,furniture/equipment,3446,<100,>7,4,male-single,none,2,car or other,42,none,own,1,skilled_employee/official,2,no,no,bad
0=<_and_<200,18,existing_dues_cleared_for_now,furniture/equipment,3001,<100,4=<_and_<7,2,female-divorced/separated/married,none,4,real_estate,40,none,rent,1,skilled_employee/official,1,no,no,good
no_checking_account,36,existing_dues_cleared_for_now,car (new),3079,unknown_or_no_savings_account,1=<_and_<4,4,male-single,none,4,real_estate,36,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,18,critical_account,radio/television,6070,<100,>7,3,male-single,none,4,car or other,33,none,own,2,skilled_employee/official,1,yes,no,good
no_checking_account,60,critical_account,car (new),13756,unknown_or_no_savings_account,>7,2,male-single,none,4,unknown/no_property,63,bank,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,good
<0,48,all_dues_atbank_cleared,business,7685,<100,4=<_and_<7,2,female-divorced/separated/married,guarantor,4,car or other,37,none,rent,1,skilled_employee/official,1,no,no,bad
0=<_and_<200,36,existing_dues_cleared_for_now,car (new),14318,<100,>7,4,male-single,none,2,unknown/no_property,57,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
no_checking_account,6,critical_account,car (new),362,100=<_and_<500,1=<_and_<4,4,female-divorced/separated/married,none,4,car or other,52,none,own,2,unskilled-resident,1,no,no,good
<0,20,existing_dues_cleared_for_now,furniture/equipment,2212,unknown_or_no_savings_account,4=<_and_<7,4,male-single,none,4,car or other,39,none,own,1,skilled_employee/official,1,yes,no,good
0=<_and_<200,18,existing_dues_cleared_for_now,car (used),12976,<100,unemployed,3,female-divorced/separated/married,none,4,unknown/no_property,38,none,for_free,1,management/self-employed/highly_qualified/officer,1,yes,no,bad
>200,12,existing_dues_cleared_for_now,car (new),1330,<100,<1,4,male-single,none,1,real_estate,26,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,30,delay_in_paying_off,business,4272,100=<_and_<500,1=<_and_<4,2,male-single,none,2,building society/savings agreement/life insurance,26,none,own,2,unskilled-resident,1,no,no,good
no_checking_account,18,critical_account,radio/television,2238,<100,1=<_and_<4,2,female-divorced/separated/married,none,1,car or other,25,none,own,2,skilled_employee/official,1,no,no,good
no_checking_account,18,existing_dues_cleared_for_now,radio/television,1126,unknown_or_no_savings_account,<1,4,female-divorced/separated/married,none,2,real_estate,21,none,rent,1,skilled_employee/official,1,yes,no,good
0=<_and_<200,18,critical_account,furniture/equipment,7374,<100,unemployed,4,male-single,none,4,building society/savings agreement/life insurance,40,stores,own,2,management/self-employed/highly_qualified/officer,1,yes,no,good
no_checking_account,9,existing_dues_cleared_for_now,business,1449,<100,4=<_and_<7,3,female-divorced/separated/married,none,2,car or other,27,none,own,2,skilled_employee/official,1,no,no,good
no_checking_account,18,existing_dues_cleared_for_now,car (new),1820,<100,1=<_and_<4,2,male-married/widowed,none,2,building society/savings agreement/life insurance,30,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
0=<_and_<200,12,existing_dues_cleared_for_now,furniture/equipment,983,>1000,<1,1,female-divorced/separated/married,none,4,real_estate,19,none,rent,1,unskilled-resident,1,no,no,good
<0,36,existing_dues_cleared_for_now,car (new),3249,<100,4=<_and_<7,2,male-single,none,4,unknown/no_property,39,bank,for_free,1,management/self-employed/highly_qualified/officer,2,yes,no,good
<0,6,critical_account,radio/television,1957,<100,4=<_and_<7,1,female-divorced/separated/married,none,4,car or other,31,none,own,1,skilled_employee/official,1,no,no,good
no_checking_account,9,critical_account,furniture/equipment,2406,<100,unemployed,2,male-single,none,3,car or other,31,none,own,1,management/self-employed/highly_qualified/officer,1,no,no,good
0=<_and_<200,39,delay_in_paying_off,education,11760,100=<_and_<500,4=<_and_<7,2,male-single,none,3,unknown/no_property,32,none,rent,1,skilled_employee/official,1,yes,no,good
<0,12,existing_dues_cleared_for_now,furniture/equipment,2578,<100,unemployed,3,female-divorced/separated/married,none,4,unknown/no_property,55,none,for_free,1,management/self-employed/highly_qualified/officer,1,no,no,good
<0,36,critical_account,furniture/equipment,2348,<100,1=<_and_<4,3,male-married/widowed,none,2,building society/savings agreement/life insurance,46,none,own,2,skilled_employee/official,1,yes,no,good
no_checking_account,24,critical_account,radio/television,1516,>1000,1=<_and_<4,4,female-divorced/separated/married,none,1,real_estate,43,none,own,2,unskilled-resident,1,no,no,good
no_checking_account,18,existing_dues_cleared_for_now,radio/television,1473,<100,<1,3,male-married/widowed,none,4,real_estate,39,none,own,1,skilled_employee/official,1,yes,no,good
0=<_and_<200,18,critical_account,business,1887,unknown_or_no_savings_account,1=<_and_<4,4,male-married/widowed,none,4,real_estate,28,bank,own,2,skilled_employee/official,1,no,no,good
no_checking_account,24,delay_in_paying_off,business,8648,<100,<1,2,male-single,none,2,car or other,27,bank,own,2,skilled_employee/official,1,yes,no,bad
0=<_and_<200,18,delay_in_paying_off,car (new),2899,unknown_or_no_savings_account,>7,4,male-single,none,4,car or other,43,none,own,1,skilled_employee/official,2,no,no,good
0=<_and_<200,24,existing_dues_cleared_for_now,radio/television,2039,<100,<1,1,male-married/widowed,none,1,building society/savings agreement/life insurance,22,none,own,1,skilled_employee/official,1,yes,no,bad
no_checking_account,24,critical_account,car (used),2197,unknown_or_no_savings_account,4=<_and_<7,4,male-single,none,4,car or other,43,none,own,2,skilled_employee/official,2,yes,no,good
<0,15,existing_dues_cleared_for_now,radio/television,1053,<100,<1,4,male-married/widowed,none,2,real_estate,27,none,own,1,skilled_employee/official,1,no,yes,good
no_checking_account,24,existing_dues_cleared_for_now,radio/television,3235,500=<_and_<1000,>7,3,male-divorced/separated,none,2,car or other,26,none,own,1,management/self-employed/highly_qualified/officer,1,yes,no,good
no_checking_account,33,critical_account,car (used),7253,<100,4=<_and_<7,3,male-single,none,2,car or other,35,none,own,2,management/self-employed/highly_qualified/officer,1,yes,no,good
no_checking_account,12,critical_account,business,2292,<100,unemployed,4,male-single,none,2,car or other,42,stores,own,2,management/self-employed/highly_qualified/officer,1,yes,no,bad
no_checking_account,10,existing_dues_cleared_for_now,car (new),1597,500=<_and_<1000,1=<_and_<4,3,male-single,none,2,unknown/no_property,40,none,rent,1,unskilled-resident,2,no,yes,good
